"gameId","playId","playDescription"
2018090600,190,"deep left complete"
2018090600,1423,"deep left complete"
2018090600,4258,"deep left complete"
2018090901,2800,"deep left complete"
2018090902,2824,"deep left complete"
2018090902,2955,"deep left complete"
2018090903,596,"deep left complete"
2018090903,2230,"deep left complete"
2018090900,186,"deep left complete"
2018090905,228,"deep left complete"
2018090905,1222,"deep left complete"
2018090907,79,"deep left complete"
2018090907,584,"deep left complete"
2018090907,641,"deep left complete"
2018090907,1382,"deep left complete"
2018090906,4140,"deep left complete"
2018090909,2766,"deep left complete"
2018090909,2809,"deep left complete"
2018090912,2958,"deep left complete"
2018091000,738,"deep left complete"
2018091000,1672,"deep left complete"
2018091000,2129,"deep left complete"
2018091000,3879,"deep left complete"
2018091300,1090,"deep left complete"
2018091300,2979,"deep left complete"
2018091602,1562,"deep left complete"
2018091602,2093,"deep left complete"
2018091602,4502,"deep left complete"
2018091603,1353,"deep left complete"
2018091604,2145,"deep left complete"
2018091604,3064,"deep left complete"
2018091604,3392,"deep left complete"
2018091601,872,"deep left complete"
2018091601,1811,"deep left complete"
2018091601,3575,"deep left complete"
2018091601,4056,"deep left complete"
2018091600,1780,"deep left complete"
2018091600,1986,"deep left complete"
2018091600,3183,"deep left complete"
2018091600,3393,"deep left complete"
2018091605,1297,"deep left complete"
2018091605,2670,"deep left complete"
2018091605,3549,"deep left complete"
2018091605,4235,"deep left complete"
2018091608,2142,"deep left complete"
2018091607,2142,"deep left complete"
2018091607,2923,"deep left complete"
2018091606,901,"deep left complete"
2018091606,2484,"deep left complete"
2018091610,347,"deep left complete"
2018091610,2040,"deep left complete"
2018091610,3683,"deep left complete"
2018091610,4178,"deep left complete"
2018091609,824,"deep left complete"
2018091609,2406,"deep left complete"
2018091611,2445,"deep left complete"
2018091611,2542,"deep left complete"
2018091612,760,"deep left complete"
2018091613,96,"deep left complete"
2018092000,4318,"deep left complete"
2018092302,1013,"deep left complete"
2018092302,1595,"deep left complete"
2018092302,2582,"deep left complete"
2018092302,2627,"deep left complete"
2018092302,2994,"deep left complete"
2018092302,3170,"deep left complete"
2018092302,3475,"deep left complete"
2018092303,921,"deep left complete"
2018092303,3833,"deep left complete"
2018092301,3604,"deep left complete"
2018092300,1152,"deep left complete"
2018092300,2118,"deep left complete"
2018092305,3275,"deep left complete"
2018092309,2809,"deep left complete"
2018092308,1572,"deep left complete"
2018092308,2148,"deep left complete"
2018092308,3838,"deep left complete"
2018092306,425,"deep left complete"
2018092306,801,"deep left complete"
2018092306,1142,"deep left complete"
2018092306,3510,"deep left complete"
2018092310,1615,"deep left complete"
2018092310,1686,"deep left complete"
2018092310,2597,"deep left complete"
2018092311,141,"deep left complete"
2018092311,2270,"deep left complete"
2018092311,3098,"deep left complete"
2018092400,1638,"deep left complete"
2018092400,1867,"deep left complete"
2018092400,3834,"deep left complete"
2018092700,3479,"deep left complete"
2018093002,492,"deep left complete"
2018093003,500,"deep left complete"
2018093003,1735,"deep left complete"
2018093003,2483,"deep left complete"
2018093004,2264,"deep left complete"
2018093004,3916,"deep left complete"
2018093001,1124,"deep left complete"
2018093001,1169,"deep left complete"
2018093001,1520,"deep left complete"
2018093001,1679,"deep left complete"
2018093001,1883,"deep left complete"
2018093000,1531,"deep left complete"
2018093007,411,"deep left complete"
2018093007,946,"deep left complete"
