playId,gameId,half_seconds_remaining,game_half,posteam_timeouts_remaining,down,ydstogo,no_huddle,score_differential,season,outcome
75,2018090600,1800.0,1,3.0,1.0,15,0,0.0,9,complete short right
146,2018090600,1690.0,1,3.0,1.0,10,0,0.0,9,incomplete short right
168,2018090600,1685.0,1,3.0,2.0,10,0,0.0,9,incomplete short left
190,2018090600,1681.0,1,3.0,3.0,10,0,0.0,9,complete deep left
256,2018090600,1559.0,1,3.0,3.0,1,0,0.0,9,incomplete short right
320,2018090600,1510.0,1,3.0,2.0,8,0,0.0,9,complete short left
344,2018090600,1464.0,1,3.0,3.0,4,0,0.0,9,incomplete short left
402,2018090600,1448.0,1,3.0,1.0,10,0,0.0,9,incomplete deep left
492,2018090600,1321.0,1,3.0,2.0,13,0,0.0,9,complete short left
521,2018090600,1279.0,1,3.0,1.0,10,0,0.0,9,complete short left
545,2018090600,1238.0,1,3.0,2.0,7,0,0.0,9,incomplete short left
636,2018090600,1207.0,1,3.0,3.0,3,0,0.0,9,incomplete short left
752,2018090600,1126.0,1,3.0,2.0,4,0,-3.0,9,complete short left
889,2018090600,930.0,1,3.0,1.0,10,0,3.0,9,incomplete short middle
949,2018090600,900.0,1,3.0,3.0,12,0,3.0,9,complete short left
992,2018090600,852.0,1,3.0,1.0,10,0,-3.0,9,complete short right
1037,2018090600,773.0,1,3.0,3.0,7,0,-3.0,9,complete short left
1061,2018090600,734.0,1,3.0,1.0,10,1,-3.0,9,complete short left
1085,2018090600,703.0,1,3.0,2.0,4,1,-3.0,9,complete short right
1202,2018090600,547.0,1,3.0,2.0,10,1,-3.0,9,complete short middle
1226,2018090600,503.0,1,3.0,3.0,7,0,-3.0,9,incomplete short right
1295,2018090600,463.0,1,3.0,1.0,19,0,-3.0,9,incomplete deep right
1344,2018090600,413.0,1,3.0,3.0,18,0,-3.0,9,complete short left
1423,2018090600,334.0,1,3.0,2.0,8,0,0.0,9,complete deep left
1473,2018090600,260.0,1,3.0,2.0,9,0,0.0,9,complete short left
1546,2018090600,183.0,1,3.0,2.0,8,0,0.0,9,incomplete deep left
1628,2018090600,121.0,1,3.0,1.0,10,0,-3.0,9,incomplete short right
1680,2018090600,117.0,1,3.0,2.0,10,0,-3.0,9,complete short right
1715,2018090600,110.0,1,3.0,1.0,10,0,-3.0,9,complete short right
1750,2018090600,104.0,1,3.0,1.0,10,0,-3.0,9,complete short right
1779,2018090600,99.0,1,3.0,2.0,3,0,-3.0,9,incomplete short right
1801,2018090600,95.0,1,3.0,3.0,3,0,-3.0,9,incomplete short right
1869,2018090600,80.0,1,3.0,1.0,10,0,3.0,9,complete short right
1894,2018090600,75.0,1,3.0,1.0,10,0,3.0,9,incomplete deep left
1916,2018090600,70.0,1,3.0,2.0,10,0,3.0,9,complete short right
1940,2018090600,48.0,1,3.0,3.0,3,1,3.0,9,incomplete short left
2055,2018090600,29.0,1,3.0,1.0,5,0,-3.0,9,incomplete deep right
2094,2018090600,22.0,1,3.0,2.0,5,0,-3.0,9,incomplete deep right
2116,2018090600,17.0,1,3.0,3.0,5,0,-3.0,9,complete short left
2260,2018090600,1800.0,2,3.0,1.0,10,0,-3.0,9,complete short left
2305,2018090600,1724.0,2,3.0,1.0,10,0,-3.0,9,incomplete short right
2360,2018090600,1677.0,2,3.0,2.0,9,0,-3.0,9,incomplete deep left
2382,2018090600,1671.0,2,3.0,3.0,9,0,-3.0,9,complete short right
2450,2018090600,1614.0,2,3.0,2.0,2,0,3.0,9,complete short left
2474,2018090600,1575.0,2,3.0,1.0,10,0,3.0,9,incomplete deep right
2503,2018090600,1564.0,2,3.0,2.0,10,0,3.0,9,incomplete short left
2575,2018090600,1557.0,2,3.0,3.0,22,0,3.0,9,complete short middle
2624,2018090600,1511.0,2,3.0,1.0,10,0,-3.0,9,complete short right
2648,2018090600,1472.0,2,3.0,2.0,6,0,-3.0,9,complete short right
2693,2018090600,1389.0,2,3.0,1.0,10,0,-3.0,9,incomplete short left
2736,2018090600,1361.0,2,3.0,3.0,5,0,-3.0,9,complete short right
2764,2018090600,1306.0,2,3.0,1.0,10,0,-3.0,9,incomplete short right
2811,2018090600,1260.0,2,3.0,3.0,8,0,-3.0,9,complete short middle
2980,2018090600,1113.0,2,3.0,2.0,25,0,-4.0,9,complete short right
3004,2018090600,1068.0,2,3.0,3.0,10,0,-4.0,9,incomplete short left
3066,2018090600,1009.0,2,3.0,2.0,6,0,4.0,9,incomplete short right
3095,2018090600,1001.0,2,3.0,3.0,6,0,4.0,9,incomplete short right
3181,2018090600,947.0,2,3.0,2.0,6,0,-4.0,9,incomplete deep middle
3203,2018090600,940.0,2,3.0,3.0,6,0,-4.0,9,incomplete short middle
3257,2018090600,920.0,2,3.0,1.0,10,0,-4.0,9,incomplete short right
3279,2018090600,917.0,2,3.0,2.0,10,0,-4.0,9,complete short middle
3392,2018090600,783.0,2,3.0,3.0,3,0,-4.0,9,complete short left
3481,2018090600,645.0,2,3.0,1.0,10,0,4.0,9,complete deep middle
3507,2018090600,635.0,2,3.0,1.0,10,0,-4.0,9,complete deep right
3626,2018090600,511.0,2,3.0,3.0,4,0,-2.0,9,complete short right
3678,2018090600,479.0,2,3.0,3.0,14,0,-2.0,9,incomplete deep right
3791,2018090600,435.0,2,3.0,1.0,20,0,2.0,9,complete short left
3844,2018090600,345.0,2,3.0,3.0,28,0,2.0,9,complete short left
3904,2018090600,291.0,2,3.0,1.0,10,0,-2.0,9,complete short right
3928,2018090600,288.0,2,3.0,2.0,8,0,-2.0,9,incomplete deep left
3950,2018090600,281.0,2,3.0,3.0,8,0,-2.0,9,complete short right
3979,2018090600,272.0,2,3.0,1.0,10,0,-2.0,9,complete short right
4142,2018090600,139.0,2,3.0,1.0,10,0,-6.0,9,complete short right
4166,2018090600,121.0,2,3.0,2.0,4,1,-6.0,9,complete deep middle
4207,2018090600,114.0,2,3.0,1.0,10,0,-6.0,9,incomplete short left
4258,2018090600,85.0,2,3.0,3.0,17,1,-6.0,9,complete deep left
4282,2018090600,78.0,2,3.0,1.0,10,0,-6.0,9,complete short right
4325,2018090600,29.0,2,3.0,3.0,8,1,-6.0,9,complete short left
4366,2018090600,24.0,2,3.0,1.0,10,0,-6.0,9,incomplete short right
4395,2018090600,16.0,2,3.0,2.0,10,0,-6.0,9,incomplete short middle
4417,2018090600,11.0,2,3.0,3.0,10,0,-6.0,9,incomplete short right
4439,2018090600,6.0,2,3.0,4.0,10,0,-6.0,9,incomplete short right
4472,2018090600,1.0,2,3.0,1.0,5,0,-6.0,9,incomplete short left
71,2018090900,1793.0,1,3.0,1.0,10,0,0.0,9,complete short middle
95,2018090900,1756.0,1,3.0,1.0,10,0,0.0,9,complete short middle
186,2018090900,1647.0,1,3.0,2.0,26,0,0.0,9,complete deep left
210,2018090900,1601.0,1,3.0,1.0,10,0,0.0,9,incomplete short left
232,2018090900,1595.0,1,3.0,2.0,10,0,0.0,9,complete short middle
313,2018090900,1504.0,1,3.0,2.0,5,0,0.0,9,complete short middle
444,2018090900,1396.0,1,3.0,2.0,11,1,-7.0,9,incomplete short left
531,2018090900,1305.0,1,3.0,2.0,9,0,7.0,9,incomplete short right
553,2018090900,1301.0,1,3.0,3.0,9,0,7.0,9,incomplete short middle
600,2018090900,1285.0,1,3.0,1.0,10,0,-7.0,9,incomplete short middle
622,2018090900,1282.0,1,3.0,2.0,10,0,-7.0,9,complete short left
646,2018090900,1248.0,1,3.0,3.0,7,0,-7.0,9,incomplete deep left
720,2018090900,1196.0,1,3.0,2.0,7,0,7.0,9,incomplete short middle
742,2018090900,1190.0,1,3.0,3.0,7,1,7.0,9,incomplete deep left
775,2018090900,1183.0,1,3.0,1.0,10,0,7.0,9,incomplete short right
797,2018090900,1177.0,1,3.0,2.0,10,0,7.0,9,complete short right
853,2018090900,1107.0,1,3.0,2.0,10,0,7.0,9,complete short middle
877,2018090900,1070.0,1,3.0,3.0,6,0,7.0,9,complete short left
901,2018090900,1037.0,1,3.0,1.0,8,0,7.0,9,complete short middle
925,2018090900,1001.0,1,3.0,2.0,7,0,7.0,9,incomplete short middle
947,2018090900,997.0,1,3.0,3.0,7,0,7.0,9,complete short middle
1161,2018090900,843.0,1,3.0,1.0,10,0,14.0,9,incomplete short middle
1204,2018090900,808.0,1,3.0,3.0,13,0,14.0,9,incomplete short right
1260,2018090900,794.0,1,3.0,1.0,10,0,-17.0,9,complete short right
1316,2018090900,740.0,1,3.0,2.0,14,0,-17.0,9,incomplete deep right
1338,2018090900,733.0,1,3.0,3.0,14,0,-17.0,9,incomplete short middle
1425,2018090900,630.0,1,3.0,3.0,5,0,17.0,9,incomplete short middle
1551,2018090900,615.0,1,3.0,1.0,5,0,-17.0,9,incomplete deep left
1713,2018090900,483.0,1,2.0,2.0,18,0,17.0,9,complete short middle
1737,2018090900,439.0,1,2.0,3.0,17,0,17.0,9,complete short left
1823,2018090900,388.0,1,3.0,1.0,18,0,-17.0,9,complete short right
1847,2018090900,354.0,1,3.0,2.0,8,0,-17.0,9,incomplete short middle
1869,2018090900,350.0,1,3.0,3.0,8,0,-17.0,9,complete deep middle
1906,2018090900,338.0,1,2.0,1.0,10,0,17.0,9,incomplete short left
2037,2018090900,217.0,1,3.0,2.0,9,0,-20.0,9,incomplete short left
2119,2018090900,168.0,1,2.0,1.0,10,0,20.0,9,complete short left
2199,2018090900,120.0,1,2.0,1.0,10,0,20.0,9,complete short right
2223,2018090900,101.0,1,2.0,2.0,7,1,20.0,9,complete short middle
2264,2018090900,95.0,1,1.0,1.0,10,0,20.0,9,complete short right
2288,2018090900,73.0,1,1.0,2.0,14,1,20.0,9,complete short middle
2312,2018090900,41.0,1,1.0,3.0,6,1,20.0,9,complete short middle
2353,2018090900,35.0,1,0.0,1.0,10,0,20.0,9,complete short middle
2377,2018090900,17.0,1,0.0,2.0,2,0,20.0,9,complete short left
2440,2018090900,5.0,1,3.0,1.0,10,0,-26.0,9,complete short right
2572,2018090900,1745.0,2,3.0,2.0,8,1,-26.0,9,incomplete short right
2594,2018090900,1742.0,2,3.0,3.0,8,0,-26.0,9,incomplete deep right
2646,2018090900,1728.0,2,3.0,1.0,10,0,26.0,9,complete short left
2696,2018090900,1658.0,2,3.0,1.0,3,0,26.0,9,complete short right
2732,2018090900,1653.0,2,3.0,1.0,13,0,26.0,9,complete short middle
2799,2018090900,1642.0,2,3.0,1.0,10,0,-33.0,9,incomplete short left
2821,2018090900,1639.0,2,3.0,2.0,10,0,-33.0,9,complete short left
2845,2018090900,1599.0,2,3.0,3.0,11,0,-33.0,9,complete short middle
2955,2018090900,1554.0,2,3.0,2.0,7,1,-40.0,9,incomplete deep right
3161,2018090900,1332.0,2,3.0,1.0,10,0,-40.0,9,incomplete deep right
3210,2018090900,1297.0,2,3.0,3.0,7,1,-40.0,9,complete short middle
3342,2018090900,1157.0,2,3.0,2.0,23,0,-40.0,9,incomplete deep left
3420,2018090900,1114.0,2,3.0,2.0,5,0,-40.0,9,incomplete short middle
3607,2018090900,900.0,2,2.0,2.0,5,0,37.0,9,incomplete short right
3629,2018090900,892.0,2,2.0,3.0,5,0,37.0,9,incomplete short left
3680,2018090900,875.0,2,3.0,1.0,10,0,-37.0,9,incomplete short right
3702,2018090900,871.0,2,3.0,2.0,10,1,-37.0,9,incomplete deep left
3748,2018090900,829.0,2,3.0,3.0,19,0,-37.0,9,complete deep right
3784,2018090900,795.0,2,3.0,1.0,10,1,-37.0,9,complete short right
3829,2018090900,730.0,2,3.0,3.0,8,0,-37.0,9,incomplete short middle
4093,2018090900,322.0,2,2.0,3.0,15,0,37.0,9,complete short middle
4260,2018090900,224.0,2,2.0,1.0,10,0,-44.0,9,incomplete deep left
4303,2018090900,188.0,2,2.0,3.0,12,1,-44.0,9,incomplete short left
4503,2018090900,63.0,2,2.0,2.0,7,1,-44.0,9,complete short right
4527,2018090900,57.0,2,2.0,1.0,10,1,-44.0,9,complete short middle
4596,2018090900,19.0,2,1.0,2.0,10,1,-44.0,9,complete short right
4637,2018090900,11.0,2,0.0,1.0,10,0,-44.0,9,incomplete deep left
93,2018090912,1723.0,1,3.0,1.0,10,0,0.0,9,incomplete deep left
115,2018090912,1717.0,1,3.0,2.0,10,0,0.0,9,incomplete short right
137,2018090912,1713.0,1,3.0,3.0,10,0,0.0,9,incomplete short right
242,2018090912,1623.0,1,3.0,1.0,10,0,0.0,9,complete short left
266,2018090912,1592.0,1,3.0,2.0,2,0,0.0,9,complete short right
